model,mse_cormat,mse,seed,data,d_dim
Poly,8.688511671619801e-13,2.900184875210564e-6,27,BB Train,18
Cosine,6.638639901802576e-29,2.9000621977205654e-6,27,BB Train,18
Sigmoid,5.184685481747424e-31,2.900062197720539e-6,27,BB Train,18
RBF,5.425048858247913e-31,2.9000621977319165e-6,27,BB Train,18
Poly,1.1781535809163868,21318.48290183957,28,BB Train,18
Cosine,6.478976726892399e-29,2.9000621977206467e-6,28,BB Train,18
Sigmoid,5.082115129417236e-31,2.900062197720455e-6,28,BB Train,18
RBF,5.91145947304896e-31,2.900062197731761e-6,28,BB Train,18
Poly,1.1773445207487578,21318.482901839445,29,BB Train,18
Cosine,6.520554660771887e-29,2.9000621977207873e-6,29,BB Train,18
Sigmoid,5.190477738431901e-31,2.9000621977204853e-6,29,BB Train,18
RBF,5.898410663658142e-31,2.900062197731669e-6,29,BB Train,18
Poly,1.182390328720372,42636.9658007792,30,BB Train,18
Cosine,6.362735768531147e-29,2.900062197720782e-6,30,BB Train,18
Sigmoid,4.921442169286795e-31,2.900062197720562e-6,30,BB Train,18
RBF,6.2387619890754485e-31,2.9000621977319186e-6,30,BB Train,18
Poly,1.1852797396040822,63955.44869971822,31,BB Train,18
Cosine,6.370445945579929e-29,2.9000621977205027e-6,31,BB Train,18
Sigmoid,5.086519310314824e-31,2.9000621977205874e-6,31,BB Train,18
RBF,6.846996535262614e-31,2.900062197732133e-6,31,BB Train,18
Poly,1.1762010774821223,21318.482901839714,32,BB Train,18
Cosine,6.509348971013733e-29,2.9000621977206255e-6,32,BB Train,18
Sigmoid,5.079400874330942e-31,2.9000621977204722e-6,32,BB Train,18
RBF,5.623690785293544e-31,2.9000621977320516e-6,32,BB Train,18
Poly,1.178041392760159,21318.482901839445,33,BB Train,18
Cosine,6.442841304847887e-29,2.9000621977207255e-6,33,BB Train,18
Sigmoid,5.125112403161886e-31,2.9000621977204853e-6,33,BB Train,18
RBF,5.6229105577384265e-31,2.9000621977317386e-6,33,BB Train,18
Poly,1.1768049208332576,21318.48290183969,34,BB Train,18
Cosine,6.460050384408208e-29,2.9000621977204155e-6,34,BB Train,18
Sigmoid,5.079292356914772e-31,2.9000621977205434e-6,34,BB Train,18
RBF,6.511970241405097e-31,2.9000621977320588e-6,34,BB Train,18
Poly,4.193850595232237e-15,2.900062344897358e-6,35,BB Train,18
Cosine,6.675653393621285e-29,2.9000621977209834e-6,35,BB Train,18
Sigmoid,5.095941068919389e-31,2.9000621977205645e-6,35,BB Train,18
RBF,5.854692038226077e-31,2.9000621977314455e-6,35,BB Train,18
Poly,1.1780088530540633,21318.482901839416,36,BB Train,18
Cosine,6.505023121960032e-29,2.9000621977208568e-6,36,BB Train,18
Sigmoid,5.117585645646865e-31,2.90006219772052e-6,36,BB Train,18
RBF,6.1689412790676245e-31,2.9000621977316632e-6,36,BB Train,18
Poly,3.1855149722157867e-12,2.900307553688412e-6,37,BB Train,18
Cosine,6.652837027231297e-29,2.900062197720757e-6,37,BB Train,18
Sigmoid,4.95605166645185e-31,2.9000621977205396e-6,37,BB Train,18
RBF,5.8266520563094e-31,2.9000621977321316e-6,37,BB Train,18
Poly,1.1840480019619215,42636.965800778955,38,BB Train,18
Cosine,6.405819068913322e-29,2.900062197720628e-6,38,BB Train,18
Sigmoid,5.104210827561828e-31,2.900062197720518e-6,38,BB Train,18
RBF,5.454202389368764e-31,2.9000621977317526e-6,38,BB Train,18
Poly,1.1767058775760382,21318.48290183946,39,BB Train,18
Cosine,6.507189489692753e-29,2.9000621977203418e-6,39,BB Train,18
Sigmoid,5.012002499440861e-31,2.9000621977205353e-6,39,BB Train,18
RBF,5.995756619031839e-31,2.9000621977321736e-6,39,BB Train,18
Poly,3.0718663918138182e-12,2.9003076977658807e-6,40,BB Train,18
Cosine,6.63756624999121e-29,2.9000621977207627e-6,40,BB Train,18
Sigmoid,5.012456412315971e-31,2.9000621977204997e-6,40,BB Train,18
RBF,6.817780415279015e-31,2.900062197731503e-6,40,BB Train,18
Poly,1.1780443496072037,21318.482901839456,41,BB Train,18
Cosine,6.439920534994773e-29,2.900062197720642e-6,41,BB Train,18
Sigmoid,4.873276877880759e-31,2.9000621977205336e-6,41,BB Train,18
RBF,6.738430583950722e-31,2.9000621977315078e-6,41,BB Train,18
Poly,1.1767852422260658,21318.48290183956,42,BB Train,18
Cosine,6.49292509690972e-29,2.900062197720758e-6,42,BB Train,18
Sigmoid,5.0791424072550325e-31,2.9000621977206467e-6,42,BB Train,18
RBF,6.2162691202651475e-31,2.900062197731599e-6,42,BB Train,18
Poly,9.062505925974672e-13,2.900185095763425e-6,43,BB Train,18
Cosine,6.62431269688779e-29,2.900062197720755e-6,43,BB Train,18
Sigmoid,5.110459698583234e-31,2.900062197720505e-6,43,BB Train,18
RBF,6.225563147103698e-31,2.9000621977319567e-6,43,BB Train,18
Poly,1.1754731031104309,21318.482901839605,44,BB Train,18
Cosine,6.454229225974325e-29,2.9000621977205633e-6,44,BB Train,18
Sigmoid,5.171906689104281e-31,2.90006219772048e-6,44,BB Train,18
RBF,7.104426044959124e-31,2.9000621977320414e-6,44,BB Train,18
Poly,1.1769925132954517,21318.482901839452,45,BB Train,18
Cosine,6.537856505187203e-29,2.9000621977208678e-6,45,BB Train,18
Sigmoid,5.198138878019755e-31,2.900062197720504e-6,45,BB Train,18
RBF,5.300519896352779e-31,2.9000621977319105e-6,45,BB Train,18
Poly,2.06626197927961e-19,2.900062197330604e-6,46,BB Train,18
Cosine,6.66882585663138e-29,2.900062197720618e-6,46,BB Train,18
Sigmoid,5.253347348502315e-31,2.9000621977205417e-6,46,BB Train,18
RBF,6.401884930465544e-31,2.9000621977320147e-6,46,BB Train,18
Poly,1.1834793733282416,42636.96580077895,47,BB Train,18
Cosine,6.349929674427013e-29,2.9000621977208394e-6,47,BB Train,18
Sigmoid,4.925957994299255e-31,2.90006219772055e-6,47,BB Train,18
RBF,6.416881895867562e-31,2.9000621977318055e-6,47,BB Train,18
Poly,1.1828502786901296,42636.96580077891,48,BB Train,18
Cosine,6.376506925728709e-29,2.9000621977205226e-6,48,BB Train,18
Sigmoid,5.052163620199849e-31,2.900062197720565e-6,48,BB Train,18
RBF,5.375169612564183e-31,2.900062197731811e-6,48,BB Train,18
Poly,1.1771952479128114,21318.48290183944,49,BB Train,18
Cosine,6.513196865209238e-29,2.900062197720596e-6,49,BB Train,18
Sigmoid,5.089748662173215e-31,2.900062197720507e-6,49,BB Train,18
RBF,5.921104759299479e-31,2.900062197731902e-6,49,BB Train,18
Poly,1.1773012238316336,21318.482901839627,50,BB Train,18
Cosine,6.478777689253385e-29,2.9000621977208127e-6,50,BB Train,18
Sigmoid,4.983281530020014e-31,2.9000621977205912e-6,50,BB Train,18
RBF,6.587841136582408e-31,2.9000621977324145e-6,50,BB Train,18
Poly,1.1821067238433094,42636.9658007792,51,BB Train,18
Cosine,6.330160373422002e-29,2.9000621977208076e-6,51,BB Train,18
Sigmoid,4.993926506111196e-31,2.900062197720567e-6,51,BB Train,18
RBF,5.375268201915557e-31,2.9000621977317276e-6,51,BB Train,18
Poly,1.1815673601967194,42636.96580077921,52,BB Train,18
Cosine,6.326005820892658e-29,2.9000621977208754e-6,52,BB Train,18
Sigmoid,4.959521772009294e-31,2.900062197720548e-6,52,BB Train,18
RBF,5.409963380999844e-31,2.900062197732047e-6,52,BB Train,18
Poly,1.178505211671922,21318.482901839605,53,BB Train,18
Cosine,6.486243971288236e-29,2.9000621977205014e-6,53,BB Train,18
Sigmoid,5.185417132875787e-31,2.9000621977205154e-6,53,BB Train,18
RBF,5.25581409785716e-31,2.9000621977322875e-6,53,BB Train,18
Poly,1.1769934830189983,21318.482901839576,54,BB Train,18
Cosine,6.479084227086757e-29,2.9000621977205218e-6,54,BB Train,18
Sigmoid,5.0944187331474695e-31,2.9000621977205357e-6,54,BB Train,18
RBF,4.857608717185262e-31,2.9000621977319516e-6,54,BB Train,18
Poly,1.183676816092331,42636.96580077916,55,BB Train,18
Cosine,6.39350442768045e-29,2.900062197720505e-6,55,BB Train,18
Sigmoid,4.8977231959911125e-31,2.900062197720487e-6,55,BB Train,18
RBF,5.870157090462049e-31,2.900062197731449e-6,55,BB Train,18
Poly,9.14175075242491e-13,2.900185095200972e-6,56,BB Train,18
Cosine,6.617753376061074e-29,2.9000621977207835e-6,56,BB Train,18
Sigmoid,5.224681114829223e-31,2.9000621977205074e-6,56,BB Train,18
RBF,7.132393797841219e-31,2.9000621977321003e-6,56,BB Train,18
Poly,1.1772791909365214,21318.482901839423,57,BB Train,18
Cosine,6.496269605445937e-29,2.9000621977210986e-6,57,BB Train,18
Sigmoid,5.010447781097407e-31,2.9000621977205552e-6,57,BB Train,18
RBF,5.545753340086225e-31,2.900062197731876e-6,57,BB Train,18
Poly,9.200839673349047e-13,2.900184950200609e-6,58,BB Train,18
Cosine,6.646785258231519e-29,2.9000621977207356e-6,58,BB Train,18
Sigmoid,5.23342365430473e-31,2.9000621977206234e-6,58,BB Train,18
RBF,5.870599826400641e-31,2.9000621977317822e-6,58,BB Train,18
Poly,3.1670655094221223e-12,2.900307621735314e-6,59,BB Train,18
Cosine,6.598700523569884e-29,2.9000621977203354e-6,59,BB Train,18
Sigmoid,5.157475626537985e-31,2.900062197720491e-6,59,BB Train,18
RBF,6.308251068553015e-31,2.9000621977314595e-6,59,BB Train,18
Poly,1.1762470475137794,21318.482901839554,60,BB Train,18
Cosine,6.410139213825975e-29,2.9000621977207534e-6,60,BB Train,18
Sigmoid,5.045862517362724e-31,2.9000621977205086e-6,60,BB Train,18
RBF,5.839969816955232e-31,2.900062197731925e-6,60,BB Train,18
Poly,1.5177839173933813e-11,2.9006755734387443e-6,61,BB Train,18
Cosine,6.572401532819783e-29,2.900062197720415e-6,61,BB Train,18
Sigmoid,5.227586012603525e-31,2.9000621977204553e-6,61,BB Train,18
RBF,5.605430754472538e-31,2.900062197731372e-6,61,BB Train,18
Poly,1.0975366240713572e-15,2.9000622721618836e-6,62,BB Train,18
Cosine,6.644581791317432e-29,2.900062197720816e-6,62,BB Train,18
Sigmoid,5.172382434906275e-31,2.9000621977204493e-6,62,BB Train,18
RBF,8.640237561637084e-31,2.90006219773162e-6,62,BB Train,18
Poly,4.401377382373565e-15,2.9000623476970135e-6,63,BB Train,18
Cosine,6.773575636014852e-29,2.90006219772064e-6,63,BB Train,18
Sigmoid,5.452143786980528e-31,2.900062197720514e-6,63,BB Train,18
RBF,6.129349934592766e-31,2.9000621977320905e-6,63,BB Train,18
Poly,1.45138635708611e-11,2.9006757949735793e-6,64,BB Train,18
Cosine,6.532861196542694e-29,2.90006219772037e-6,64,BB Train,18
Sigmoid,5.171673478160725e-31,2.900062197720501e-6,64,BB Train,18
RBF,6.662286789409896e-31,2.9000621977317534e-6,64,BB Train,18
Poly,1.1825057801171972,42636.965800778984,65,BB Train,18
Cosine,6.291790151339266e-29,2.900062197720507e-6,65,BB Train,18
Sigmoid,5.017422240068464e-31,2.900062197720559e-6,65,BB Train,18
RBF,5.866174740904579e-31,2.9000621977317073e-6,65,BB Train,18
Poly,3.1278029605809056e-12,2.900307551918816e-6,66,BB Train,18
Cosine,6.676212322982383e-29,2.9000621977207276e-6,66,BB Train,18
Sigmoid,5.076426315590646e-31,2.9000621977205552e-6,66,BB Train,18
RBF,6.886304124368989e-31,2.9000621977318555e-6,66,BB Train,18
Poly,1.1773882362208146,21318.48290183945,67,BB Train,18
Cosine,6.479300981814449e-29,2.900062197720825e-6,67,BB Train,18
Sigmoid,5.083023199797415e-31,2.9000621977205357e-6,67,BB Train,18
RBF,5.88126764788424e-31,2.9000621977319847e-6,67,BB Train,18
Poly,3.044343355047989e-12,2.9003076962004825e-6,68,BB Train,18
Cosine,6.609905934558163e-29,2.900062197720621e-6,68,BB Train,18
Sigmoid,5.12263518882241e-31,2.900062197720452e-6,68,BB Train,18
RBF,5.742916967914341e-31,2.900062197731726e-6,68,BB Train,18
Poly,1.1865290180674897,85273.93159865867,69,BB Train,18
Cosine,6.299904852353868e-29,2.9000621977208076e-6,69,BB Train,18
Sigmoid,4.972362555600298e-31,2.90006219772063e-6,69,BB Train,18
RBF,5.906321391777072e-31,2.9000621977323883e-6,69,BB Train,18
Poly,1.175829985182261,21318.482901839772,70,BB Train,18
Cosine,6.38726800664944e-29,2.9000621977207827e-6,70,BB Train,18
Sigmoid,4.912434451078464e-31,2.900062197720533e-6,70,BB Train,18
RBF,5.828862836373436e-31,2.900062197731866e-6,70,BB Train,18
Poly,1.1811753555332514,42636.96580077921,71,BB Train,18
Cosine,6.35412936526351e-29,2.900062197720974e-6,71,BB Train,18
Sigmoid,5.090825523643532e-31,2.9000621977204997e-6,71,BB Train,18
RBF,5.260706576069155e-31,2.90006219773172e-6,71,BB Train,18
Poly,1.182052649234726,42636.965800779166,72,BB Train,18
Cosine,6.358555209560936e-29,2.9000621977204587e-6,72,BB Train,18
Sigmoid,4.923037412414302e-31,2.9000621977205277e-6,72,BB Train,18
RBF,6.17162478745694e-31,2.900062197732034e-6,72,BB Train,18
Poly,1.174947598956909,21318.48290183969,73,BB Train,18
Cosine,6.429120574373918e-29,2.9000621977210008e-6,73,BB Train,18
Sigmoid,5.152798090453314e-31,2.900062197720565e-6,73,BB Train,18
RBF,7.20036025743165e-31,2.9000621977318246e-6,73,BB Train,18
Poly,1.1823663229374775,42636.96580077917,74,BB Train,18
Cosine,6.364855479178419e-29,2.900062197720455e-6,74,BB Train,18
Sigmoid,5.012118187407182e-31,2.900062197720507e-6,74,BB Train,18
RBF,5.762484076729607e-31,2.9000621977311186e-6,74,BB Train,18
Poly,1.181338614226004,42636.965800779675,75,BB Train,18
Cosine,6.304339621092673e-29,2.900062197720665e-6,75,BB Train,18
Sigmoid,4.985393352072947e-31,2.9000621977205912e-6,75,BB Train,18
RBF,4.83779529550629e-31,2.9000621977319635e-6,75,BB Train,18
Poly,1.1813311746442041,42636.96580077916,76,BB Train,18
Cosine,6.336895789230269e-29,2.900062197720344e-6,76,BB Train,18
Sigmoid,4.977931807312602e-31,2.900062197720536e-6,76,BB Train,18
RBF,6.345604179046126e-31,2.9000621977316175e-6,76,BB Train,18
Poly,1.1126789105899882e-15,2.9000622747429306e-6,77,BB Train,18
Cosine,6.644831589224935e-29,2.9000621977203706e-6,77,BB Train,18
Sigmoid,5.249584106934635e-31,2.9000621977205218e-6,77,BB Train,18
RBF,6.37716179764739e-31,2.9000621977318216e-6,77,BB Train,18
Poly,4.121647240612207e-15,2.9000623456994447e-6,78,BB Train,18
Cosine,6.619816747316709e-29,2.900062197720998e-6,78,BB Train,18
Sigmoid,5.154607410848023e-31,2.9000621977204654e-6,78,BB Train,18
RBF,7.139837254542897e-31,2.9000621977320977e-6,78,BB Train,18
Poly,1.1810800279889084,42636.96580077922,79,BB Train,18
Cosine,6.334203156127904e-29,2.9000621977206967e-6,79,BB Train,18
Sigmoid,5.008318931388728e-31,2.9000621977205e-6,79,BB Train,18
RBF,5.823999282135691e-31,2.9000621977313778e-6,79,BB Train,18
Poly,1.1782882878923,21318.48290183946,80,BB Train,18
Cosine,6.537463135211473e-29,2.9000621977209944e-6,80,BB Train,18
Sigmoid,5.124301452159789e-31,2.9000621977205777e-6,80,BB Train,18
RBF,5.6561210601349525e-31,2.900062197731929e-6,80,BB Train,18
Poly,9.046834971708121e-13,2.9001849466116124e-6,81,BB Train,18
Cosine,6.65231391524454e-29,2.9000621977211435e-6,81,BB Train,18
Sigmoid,5.124163674596822e-31,2.900062197720485e-6,81,BB Train,18
RBF,6.877393444466355e-31,2.9000621977314883e-6,81,BB Train,18
Poly,1.178042035149296,21318.482901839594,82,BB Train,18
Cosine,6.497837958090008e-29,2.9000621977207683e-6,82,BB Train,18
Sigmoid,5.08514337407809e-31,2.900062197720566e-6,82,BB Train,18
RBF,5.724711504537928e-31,2.900062197731697e-6,82,BB Train,18
Poly,9.74099465668917e-12,2.9005531902246666e-6,83,BB Train,18
Cosine,6.557964364214063e-29,2.9000621977210016e-6,83,BB Train,18
Sigmoid,5.090314327530692e-31,2.9000621977205984e-6,83,BB Train,18
RBF,7.4479817292043605e-31,2.900062197731747e-6,83,BB Train,18
Poly,1.188550826178978,85273.93159865863,84,BB Train,18
Cosine,6.205873257354237e-29,2.9000621977210054e-6,84,BB Train,18
Sigmoid,5.043743428956853e-31,2.9000621977205247e-6,84,BB Train,18
RBF,6.751745407942989e-31,2.900062197731384e-6,84,BB Train,18
Poly,1.1843185949452397,63955.44869971854,85,BB Train,18
