model,mse_cormat,mse,seed,data,d_dim
PCA,0.0014258839782433689,0.06175986527165682,69,BB Train,18
VAE,2.2679361927425049e-4,0.019951772091252772,70,BB Train,18
PCA,0.0014717415094217905,0.06342459381943619,70,BB Train,18
VAE,2.715207482350959e-4,0.020563308976368617,71,BB Train,18
PCA,0.0014339445288372738,0.06278656908181861,71,BB Train,18
VAE,2.7461393732424095e-4,0.02038343459052859,72,BB Train,18
PCA,0.0014119146623074188,0.062073194416487315,72,BB Train,18
VAE,2.2831872927497903e-4,0.0200406702937725,73,BB Train,18
PCA,0.0014744491150277196,0.0630793267505965,73,BB Train,18
VAE,2.6566170058133165e-4,0.020124500511561397,74,BB Train,18
PCA,0.0014182524423065849,0.061948250382092174,74,BB Train,18
VAE,2.6622901268028704e-4,0.02041602950203748,75,BB Train,18
PCA,0.0014311521131184389,0.06340973312337114,75,BB Train,18
VAE,2.7230864638765284e-4,0.020611969835389883,76,BB Train,18
PCA,0.001435007950598786,0.06299334645759663,76,BB Train,18
VAE,1.9920419834601835e-4,0.018998379374687544,77,BB Train,18
PCA,0.0014372304109173907,0.06022767672644451,77,BB Train,18
VAE,2.0196101756033444e-4,0.019328318689815414,78,BB Train,18
PCA,0.0014783499733074853,0.06127409793165109,78,BB Train,18
VAE,2.682416182634996e-4,0.020439399783796143,79,BB Train,18
PCA,0.0014136642932702963,0.06303896452405698,79,BB Train,18
VAE,2.260540539353127e-4,0.019485542934651715,80,BB Train,18
PCA,0.0013675493407028223,0.0592679918503223,80,BB Train,18
VAE,1.9760045452584514e-4,0.018927590173899143,81,BB Train,18
PCA,0.0014564736967602303,0.05980707339752368,81,BB Train,18
VAE,2.2632125563207446e-4,0.019562303804958645,82,BB Train,18
PCA,0.0013826354558483325,0.05968683744940695,82,BB Train,18
VAE,1.9794984879644014e-4,0.01893262819625522,83,BB Train,18
PCA,0.0016496197116179204,0.061887386772460834,83,BB Train,18
VAE,3.8770606673001987e-4,0.02144560799037823,84,BB Train,18
PCA,0.0013921433757233639,0.0609028135865654,84,BB Train,18
VAE,3.2531009255827223e-4,0.021121206406748527,85,BB Train,18
